clip_id	scenario	mic_filename	ref_filename	sha256_mic	sha256_ref
fe_10	farend_singletalk	-AQgRZRHXkKqI7jpf32Fyg_farend_singletalk_mic.wav	-AQgRZRHXkKqI7jpf32Fyg_farend_singletalk_lpb.wav	6fedb8b26c3390f54b1387ab772747fa573ee01cdecb64a7aea996b2f5e4dccb	5904ac68b05a38099f2cfeb946e69e445c813d9fdd2bae815fdc41d567d748c6
ne_01	nearend_singletalk	-0AcvGNEdEK-DQGxWmtq2Q_nearend_singletalk_mic.wav	-0AcvGNEdEK-DQGxWmtq2Q_nearend_singletalk_lpb_silence.wav	192291e973b7dee519102f30ae75e4209712ce55d02f55a9020a7c3b37a1d0e0	8376fc87ca05d4b3418fac36029303efde024794860b0713f6e04b8901bcc35e
ne_02	nearend_singletalk	-2jLGNCgf0WDpKMY2iup7g_nearend_singletalk_mic.wav	-2jLGNCgf0WDpKMY2iup7g_nearend_singletalk_lpb_silence.wav	67cb9fc632e51147159f9744fb1e94dc5454e7a4866dcfd404369807c1e48d10	dbc818f3540b0725267fabb7ce0cb0a9b2410c31b9427050dbdf637d77b092bf
ne_03	nearend_singletalk	-34oOakz8EuGA0OD8lpAOw_nearend_singletalk_mic.wav	-34oOakz8EuGA0OD8lpAOw_nearend_singletalk_lpb_silence.wav	f14a733bfeec6c24b624b7bba909eee51ef691da3c3a11d277793a1db7e6fa8b	350f16ac16bc22bf69628ce47aedadfee501c6d491fc0a9157eda4773ccd18eb
ne_04	nearend_singletalk	-3Jxai1udE6V32_c-aUJFA_nearend_singletalk_mic.wav	-3Jxai1udE6V32_c-aUJFA_nearend_singletalk_lpb_silence.wav	bf79c3d08859c141efc454e5331fb3cd3db9e0c2bd4b39d0d4ebe91d89206476	fb03f58ea94d2d9279a18d972e6d270f5bc4083912e43e37c909420cf4c89103
ne_05	nearend_singletalk	-4ZzhygVJ0i2f7wMpKYIqg_nearend_singletalk_mic.wav	-4ZzhygVJ0i2f7wMpKYIqg_nearend_singletalk_lpb_silence.wav	805e133b401ea1922e6c89d85e3e9303fe060e03fb28b594453b794f9b73929c	a8e7e767e3650946e3a550ab94212866893e26ebe8cda907413f11564b61e417
ne_06	nearend_singletalk	-6J2UYFUOkCkA0FbNaRyOQ_nearend_singletalk_mic.wav	-6J2UYFUOkCkA0FbNaRyOQ_nearend_singletalk_lpb_silence.wav	83f335c9813974e95ba18aff6bec47da2227a65c2f249ef649e1737af675f5d7	a5747efb7fbe06079c70f3e591dc08516cfdf8c05cd60a9fbe122e2d39932de9
ne_07	nearend_singletalk	-6ZM9_DKN0WHCo5oYppZhQ_nearend_singletalk_mic.wav	-6ZM9_DKN0WHCo5oYppZhQ_nearend_singletalk_lpb_silence.wav	75ee2b204884bfa988d4e5b89d0989687f4a93a191d34343dc01f911bc99bce7	df9c6bee19e5c77ed8138715ebd6ba19ecaf21d07c6513d7100dd159c12366f0
ne_08	nearend_singletalk	-6c7f0rQV0iN6BWQE6sULw_nearend_singletalk_mic.wav	-6c7f0rQV0iN6BWQE6sULw_nearend_singletalk_lpb_silence.wav	9305300a86b52facd3ecc086096493745c3b7cb8ca01398590b99ef93e4c0a04	1ca57978555b4bf62f108eee7599fcf8f985aeaa62b9830416054620584173bb
ne_09	nearend_singletalk	-9OpPnj1J02C6RkA_o09dQ_nearend_singletalk_mic.wav	-9OpPnj1J02C6RkA_o09dQ_nearend_singletalk_lpb_silence.wav	4529d586d250dac4716ac031d28ccbef26e4d3e523df864e3b0e3838dc1a81b3	2a5c0fd06ccd7c7011e332ea37c034d6080287576ec71732555525a61b105936
ne_10	nearend_singletalk	-9Qt1FJHC0afHFxhsdVzxw_nearend_singletalk_mic.wav	-9Qt1FJHC0afHFxhsdVzxw_nearend_singletalk_lpb_silence.wav	bd361f8dd844d309c485ec8944b9e3fb13de8d9e2caf6fcd82b4427a833d51ed	bdaca76d7abeee374c35683db92e3bf82ee2f2a7eac49977d6bbc2f9320efc2c
